Iteracion;nBoids;Boid;Location X;Location Y;Velocity X; Velocity Y;Acceleration X; Acceleration Y
89;250;58;660.24506;124.47971;1.9274541;-0.40319547;-0.0;-0.0
90;250;58;661.8718;124.13021;1.6267922;-0.34949982;-0.0;0.0
91;250;50;656.12585;108.666504;1.6901765;-0.82148117;-0.0;-0.0
91;250;58;663.5376;123.763855;1.6657451;-0.36635572;0.0;-0.0
92;250;50;657.80334;107.84217;1.6775206;-0.82433254;-0.0;-0.0
92;250;58;665.24036;123.37953;1.7027822;-0.38432425;0.0;-0.0
92;250;214;664.02216;140.14676;1.9362482;-0.36429474;-0.0;-0.0
93;250;50;659.4699;107.014786;1.6665365;-0.8273862;-0.0;-0.0
93;250;58;666.9777;122.97658;1.7373825;-0.40295237;0.0;-0.0
93;250;214;665.9877;139.77693;1.9655106;-0.36982143;0.0;-0.0
94;250;50;661.1178;106.18527;1.6479037;-0.82951367;-0.0;-0.0
94;250;58;668.74664;122.55493;1.7689221;-0.42164895;0.0;-0.0
94;250;214;667.93054;139.44884;1.9428669;-0.32808998;-0.0;0.0
95;250;50;662.74915;105.35308;1.6313634;-0.832195;-0.0;-0.0
95;250;58;670.543;122.11527;1.7963741;-0.4396573;0.0;-0.0
95;250;214;669.89386;139.06769;1.9633448;-0.38115242;0.0;-0.0
96;250;40;670.5793;158.18004;1.7736284;0.2421518;-0.0;0.0
96;250;50;664.3609;104.518845;1.6117755;-0.83423656;-0.0;-0.0
96;250;58;672.34143;121.65205;1.7983985;-0.46322876;0.0;-0.0
96;250;214;671.83746;138.74289;1.9436244;-0.3248001;-0.0;0.0
97;250;40;672.349;158.42696;1.7697033;0.24691589;-0.0;0.0
97;250;50;665.9633;103.680695;1.6024269;-0.8381497;-0.0;-0.0
97;250;58;674.1395;121.168236;1.7980889;-0.48381144;-0.0;-0.0
97;250;214;673.79156;138.35678;1.9541242;-0.38610092;0.0;-0.0
98;250;3;663.3824;137.23398;1.9443204;-0.31458926;-0.0;0.0
98;250;40;674.11505;158.6785;1.7660238;0.2515375;-0.0;0.0
98;250;50;667.5568;102.838585;1.593492;-0.84210664;-0.0;-0.0
98;250;58;675.64514;120.74236;1.5056455;-0.4258712;-0.0;0.0
98;250;178;660.6299;127.48558;1.8852055;-0.54324347;-0.0;-0.0
98;250;214;675.73956;138.04242;1.9480201;-0.31435764;-0.0;0.0
98;250;219;657.4148;117.103195;1.9115658;-0.46111476;0.0;-0.0
99;250;3;665.354;136.90514;1.9716306;-0.32884905;0.0;-0.0
99;250;40;675.87006;158.93665;1.754979;0.25815552;-0.0;0.0
99;250;50;668.8576;102.089066;1.300792;-0.7495219;-0.0;0.0
99;250;58;677.17737;120.29275;1.5322163;-0.44961408;0.0;-0.0
99;250;178;662.54254;126.987236;1.9126804;-0.49834737;0.0;0.0
99;250;214;677.6812;137.74593;1.9416534;-0.29648632;-0.0;0.0
99;250;219;659.3296;116.63893;1.9147753;-0.46426624;0.0;-0.0
100;250;0;660.23376;130.43805;1.9652994;-0.30496764;0.0;0.0
100;250;3;666.9947;136.57924;1.6407161;-0.32589763;-0.0;0.0
100;250;40;677.30865;159.2417;1.4385847;0.30505073;-0.0;0.0
100;250;50;670.18097;101.33282;1.3233442;-0.7562493;0.0;-0.0
100;250;58;678.7386;119.823456;1.5612067;-0.4692943;0.0;-0.0
100;250;148;652.62274;94.070145;1.2988524;-0.89239043;-0.0;-0.0
