Iteracion;nBoids;Boid;Location X;Location Y;Velocity X; Velocity Y;Acceleration X; Acceleration Y
88;100;44;663.5414;136.05995;1.9397749;-0.34523347;-0.0;-0.0
89;100;44;665.47296;135.69505;1.9315499;-0.3648943;-0.0;-0.0
90;100;30;656.95557;113.50598;1.7367548;-0.69533557;-0.0;-0.0
90;100;44;667.396;135.31285;1.9230366;-0.38219997;-0.0;-0.0
91;100;30;658.68475;112.80677;1.7291771;-0.6992076;-0.0;-0.0
91;100;44;669.31146;134.91458;1.9154948;-0.39826837;-0.0;-0.0
92;100;30;660.40173;112.10363;1.7170086;-0.70314044;-0.0;-0.0
92;100;44;671.239;134.58333;1.9275308;-0.3312539;0.0;0.0
93;100;30;662.1084;111.39635;1.7066914;-0.7072836;-0.0;-0.0
93;100;44;672.913;134.3569;1.674035;-0.22642958;-0.0;0.0
94;100;30;663.8442;110.70546;1.7357869;-0.6908871;0.0;0.0
94;100;44;674.5974;134.08232;1.6843691;-0.2745865;0.0;-0.0
95;100;30;665.57947;110.01163;1.735289;-0.693835;-0.0;-0.0
95;100;44;676.2934;133.76442;1.6960046;-0.31790605;0.0;-0.0
95;100;97;661.0412;130.84242;1.9216863;-0.4049119;-0.0;-0.0
96;100;30;667.3141;109.31487;1.7346481;-0.6967545;-0.0;-0.0
96;100;44;678.00146;133.40787;1.7080989;-0.35654977;0.0;-0.0
96;100;97;662.9933;130.46298;1.9520925;-0.37943918;0.0;0.0
97;100;30;669.04785;108.615265;1.733757;-0.6996049;-0.0;-0.0
97;100;44;679.7213;133.01753;1.7198619;-0.39034095;0.0;-0.0
97;100;62;667.5713;151.18468;1.8435812;0.15455404;0.0;0.0
97;100;73;665.81934;143.57558;1.8703016;-0.48418784;-0.0;-0.0
97;100;85;656.6563;114.15064;1.6201383;-0.7586311;-0.0;-0.0
97;100;97;664.9435;130.16023;1.9501705;-0.30274886;-0.0;0.0
98;100;30;670.7805;107.912865;1.7326914;-0.7023966;-0.0;-0.0
98;100;44;681.4518;132.59756;1.7304465;-0.41997212;0.0;-0.0
98;100;62;669.12054;151.38269;1.5492798;0.1980145;-0.0;0.0
98;100;73;667.6838;143.07385;1.8644534;-0.5017202;-0.0;-0.0
98;100;85;658.26654;113.389175;1.6102093;-0.7614641;-0.0;-0.0
98;100;86;657.0407;117.85346;1.8224999;-0.6300452;0.0;0.0
98;100;97;666.5976;129.87103;1.6541051;-0.28920406;-0.0;0.0
99;100;30;672.5126;107.2078;1.7320507;-0.7050649;-0.0;-0.0
99;100;44;682.90186;132.2312;1.4500673;-0.36636254;-0.0;0.0
99;100;62;670.7012;151.56735;1.5806249;0.18466024;0.0;-0.0
99;100;73;669.5398;142.55481;1.8559897;-0.51904786;-0.0;-0.0
99;100;85;659.86633;112.62488;1.5997744;-0.76429486;-0.0;-0.0
99;100;86;658.89484;117.276184;1.8541067;-0.5772788;0.0;0.0
99;100;97;668.2931;129.56699;1.6954831;-0.3040541;0.0;-0.0
100;100;28;652.6462;96.67374;1.2290502;-0.8218396;-0.0;0.0
100;100;30;674.24396;106.50013;1.7313979;-0.70767325;-0.0;-0.0
100;100;44;684.0924;131.92044;1.1905733;-0.31075722;-0.0;0.0
100;100;62;672.3123;151.73877;1.6111393;0.17141372;0.0;-0.0
100;100;73;671.42426;142.07524;1.8844454;-0.4795742;0.0;0.0
100;100;85;661.45764;111.857506;1.5912844;-0.767369;-0.0;-0.0
100;100;86;660.76636;116.774826;1.8715421;-0.501358;0.0;0.0
100;100;97;670.02936;129.24811;1.7362714;-0.3188711;0.0;-0.0
101;100;28;653.8651;95.85246;1.2189133;-0.82127625;-0.0;0.0
101;100;30;675.9743;105.78989;1.7303209;-0.7102463;-0.0;-0.0
101;100;44;685.31836;131.5865;1.2259641;-0.33393314;0.0;-0.0
101;100;62;673.95306;151.8974;1.640733;0.15863279;0.0;-0.0
101;100;73;673.3113;141.66469;1.8870337;-0.4105584;0.0;0.0
101;100;80;668.41547;152.0585;1.8312323;0.14558195;-0.0;0.0
101;100;85;663.0366;111.08763;1.5789671;-0.76987225;-0.0;-0.0
101;100;86;662.6649;116.33786;1.8985828;-0.43696678;0.0;0.0
101;100;97;671.5136;128.98395;1.4842699;-0.2641635;-0.0;0.0
102;100;28;655.07416;95.03174;1.2090653;-0.82072806;-0.0;0.0
102;100;30;677.7034;105.07716;1.7291199;-0.71272624;-0.0;-0.0
102;100;44;686.5787;131.22939;1.2603078;-0.3571186;0.0;-0.0
102;100;46;674.8725;169.01976;1.5292224;0.39912856;-0.0;0.0
102;100;62;675.62225;152.04396;1.6692001;0.14655839;0.0;-0.0
102;100;73;675.22687;141.25528;1.9155716;-0.4094048;0.0;0.0
102;100;80;670.241;152.2094;1.8255502;0.15089442;-0.0;0.0
102;100;85;664.59924;110.3162;1.5626186;-0.7714316;-0.0;-0.0
102;100;86;664.58624;115.91119;1.9213289;-0.42667302;0.0;0.0
102;100;97;673.04114;128.70934;1.5275191;-0.27460688;0.0;-0.0
103;100;0;656.909;114.20441;1.462462;-0.75062555;-0.0;-0.0
103;100;28;656.2737;94.21151;1.1995293;-0.8202294;-0.0;0.0
103;100;30;679.4311;104.361984;1.7276784;-0.71517605;-0.0;-0.0
103;100;44;687.8721;130.84897;1.2933804;-0.38041705;0.0;-0.0
103;100;46;676.3922;169.42285;1.5197079;0.4030954;-0.0;0.0
103;100;62;677.3186;152.1791;1.6963574;0.13513868;0.0;-0.0
103;100;73;677.1685;140.85379;1.9416766;-0.40149498;0.0;0.0
103;100;80;672.0699;152.36165;1.8288277;0.15225556;0.0;0.0
103;100;85;666.14636;109.5429;1.5471363;-0.7732989;-0.0;-0.0
103;100;86;666.53827;115.53195;1.9520553;-0.37923157;0.0;0.0
103;100;97;674.6021;128.40846;1.5609976;-0.30086687;0.0;-0.0
104;100;0;658.36615;113.44991;1.4571339;-0.7544972;-0.0;-0.0
104;100;3;664.9375;142.60426;1.9248073;0.040997475;0.0;-0.0
104;100;17;659.18225;122.10127;1.5870242;-0.72819626;-0.0;-0.0
104;100;20;659.95264;129.35423;1.9158554;-0.4455394;0.0;-0.0
104;100;28;657.4699;93.38966;1.1961987;-0.8218456;-0.0;-0.0
104;100;30;681.15686;103.64433;1.7257864;-0.71765506;-0.0;-0.0
104;100;44;689.197;130.44514;1.3249309;-0.40383008;0.0;-0.0
104;100;46;677.90265;169.82985;1.5104661;0.40700474;-0.0;0.0
104;100;62;679.04065;152.30347;1.7220755;0.124381214;0.0;-0.0
104;100;73;678.794;140.5152;1.6254834;-0.33858782;-0.0;0.0
104;100;80;673.9063;152.51212;1.8364079;0.15047288;0.0;-0.0
