Iteracion;nBoids;Boid;Location X;Location Y;Velocity X; Velocity Y;Acceleration X; Acceleration Y
89;250;58;660.24506;124.47971;1.9274541;-0.40319547;-0.0;-0.0
90;250;58;662.164;124.06209;1.9189548;-0.41762453;-0.0;-0.0
91;250;50;656.126;108.66653;1.6903348;-0.821458;-0.0;-0.0
91;250;58;664.07587;123.630974;1.9118577;-0.43111706;-0.0;-0.0
92;250;50;657.8037;107.84222;1.6777604;-0.8243132;-0.0;-0.0
92;250;58;665.9814;123.18716;1.9055463;-0.44381726;-0.0;-0.0
92;250;214;664.02106;140.13974;1.9360249;-0.3653008;-0.0;0.0
93;250;50;659.4706;107.01485;1.6668504;-0.82736677;-0.0;-0.0
93;250;58;667.8684;122.73147;1.887044;-0.4556881;-0.0;-0.0
93;250;214;665.98474;139.76033;1.9636828;-0.37940788;0.0;-0.0
94;250;50;661.1188;106.18536;1.6481768;-0.8294833;-0.0;-0.0
94;250;58;669.7406;122.2625;1.8722067;-0.46896753;-0.0;-0.0
94;250;214;667.9276;139.43141;1.9428554;-0.328912;-0.0;0.0
95;250;50;662.75037;105.35321;1.6315769;-0.83215183;-0.0;-0.0
95;250;58;671.5999;121.779854;1.8593004;-0.48264432;-0.0;-0.0
95;250;214;669.88464;139.04372;1.9570304;-0.38768882;0.0;-0.0
96;250;40;670.57935;158.17996;1.7736603;0.2421197;-0.0;0.0
96;250;50;664.36224;104.51905;1.6118773;-0.8341628;-0.0;-0.0
96;250;58;673.4476;121.28348;1.8476342;-0.49637532;-0.0;-0.0
96;250;214;671.8345;138.71109;1.9498191;-0.3326252;-0.0;0.0
97;250;40;672.3491;158.42683;1.7697502;0.24687305;-0.0;0.0
97;250;50;665.96466;103.68098;1.6024415;-0.8380738;-0.0;-0.0
97;250;58;675.28455;120.77345;1.8369789;-0.5100251;-0.0;-0.0
97;250;214;673.7851;138.31235;1.9506508;-0.3987391;0.0;-0.0
98;250;3;663.38043;137.22206;1.9443635;-0.31483573;-0.0;0.0
98;250;40;674.11523;158.67831;1.7660909;0.2514816;-0.0;0.0
98;250;50;667.55804;102.83894;1.5934076;-0.84203005;-0.0;-0.0
98;250;58;677.1115;120.24996;1.8269703;-0.5234927;-0.0;-0.0
98;250;178;660.628;127.48374;1.8848108;-0.543677;-0.0;-0.0
98;250;214;675.72925;137.98712;1.9441801;-0.3252313;-0.0;0.0
98;250;219;657.4197;117.10713;1.9128883;-0.46024415;0.0;-0.0
99;250;3;665.35187;136.88533;1.9714484;-0.33673483;0.0;-0.0
99;250;40;675.8703;158.9364;1.7550589;0.25809076;-0.0;0.0
99;250;50;669.14264;101.99295;1.5846194;-0.8459953;-0.0;-0.0
99;250;58;678.92896;119.71328;1.8174454;-0.5366834;-0.0;-0.0
99;250;178;662.2515;127.064026;1.6235366;-0.4197191;-0.0;0.0
99;250;214;677.67316;137.68219;1.9439358;-0.30493087;-0.0;0.0
99;250;219;659.3353;116.64368;1.9156533;-0.46345162;0.0;-0.0
100;250;0;660.229;130.43774;1.9613034;-0.30139127;0.0;0.0
100;250;3;666.99054;136.55838;1.638679;-0.32695365;-0.0;0.0
100;250;40;677.6064;159.20184;1.7360566;0.26544267;-0.0;0.0
100;250;50;670.71857;101.14301;1.57594;-0.8499404;-0.0;-0.0
100;250;58;680.7377;119.163734;1.8087248;-0.54954714;-0.0;-0.0
100;250;148;652.6232;94.069885;1.2990419;-0.8924766;-0.0;-0.0
100;250;178;663.9115;126.63037;1.6599557;-0.43365857;0.0;-0.0
100;250;187;667.19415;148.21037;1.8706168;0.077882804;-0.0;0.0
100;250;214;679.6144;137.39383;1.9412256;-0.28836495;-0.0;0.0
100;250;219;661.25165;116.176994;1.9162912;-0.46667886;0.0;-0.0
101;250;0;662.18414;130.15198;1.9551427;-0.2857741;-0.0;0.0
101;250;3;668.6732;136.24039;1.6826584;-0.31798863;0.0;0.0
101;250;40;679.3252;159.47469;1.7188337;0.27284345;-0.0;0.0
101;250;50;672.2859;100.28915;1.567314;-0.8538652;-0.0;-0.0
101;250;58;682.5383;118.60165;1.8006501;-0.5620881;-0.0;-0.0
101;250;148;653.9122;93.177086;1.2889311;-0.89279795;-0.0;-0.0
101;250;178;665.60535;126.18219;1.693822;-0.44818485;0.0;-0.0
101;250;187;669.06354;148.29251;1.8694086;0.08213424;-0.0;0.0
101;250;197;656.3376;109.602905;1.6179335;-0.8061391;-0.0;-0.0
101;250;199;656.0311;113.40996;1.8076532;-0.69858617;0.0;0.0
101;250;214;681.554;137.12048;1.9396122;-0.27334926;-0.0;0.0
101;250;219;663.16876;115.70756;1.9171036;-0.46943775;0.0;-0.0
101;250;240;663.8999;140.83907;1.9172944;-0.001222088;0.0;0.0
102;250;0;664.1307;129.88388;1.9465041;-0.2681017;-0.0;0.0
102;250;3;670.39716;135.9381;1.723967;-0.30228794;0.0;0.0
102;250;40;681.03345;159.75444;1.7082618;0.27976176;-0.0;0.0
102;250;50;673.5607;99.52856;1.2748404;-0.76059276;-0.0;0.0
102;250;58;684.3313;118.02737;1.7929754;-0.5742795;-0.0;-0.0
102;250;148;655.1911;92.284004;1.2789263;-0.8930836;-0.0;-0.0
102;250;163;658.6832;124.76531;1.9330453;-0.4395117;0.0;0.0
102;250;178;667.3282;125.71776;1.7228223;-0.4644333;0.0;-0.0
102;250;187;670.93195;148.37875;1.8683801;0.086246625;-0.0;0.0
102;250;197;657.9449;108.79459;1.6073247;-0.80831194;-0.0;-0.0
102;250;199;657.83923;112.712006;1.8081236;-0.6979528;0.0;0.0
102;250;214;683.4946;136.85991;1.9406317;-0.2605712;0.0;0.0
102;250;219;665.10986;115.271545;1.9410753;-0.4360103;0.0;0.0
102;250;232;670.9013;161.82874;1.611716;0.32715595;-0.0;0.0
102;250;240;665.8131;140.84499;1.9131985;0.0059271567;-0.0;0.0
103;250;0;666.076;129.63116;1.945289;-0.25271735;-0.0;0.0
103;250;3;672.165;135.6384;1.7678258;-0.29969302;0.0;0.0
103;250;40;682.732;160.041;1.6985668;0.28656456;-0.0;0.0
103;250;50;674.8567;98.76074;1.2959871;-0.76781404;0.0;-0.0
103;250;58;686.1169;117.441216;1.785565;-0.586153;-0.0;-0.0
103;250;105;657.6749;119.63394;1.8546869;-0.573879;-0.0;-0.0
103;250;148;656.4628;91.3898;1.2716994;-0.8942036;-0.0;-0.0
103;250;163;660.6049;124.31847;1.9216708;-0.4468453;-0.0;-0.0
103;250;178;669.0779;125.2388;1.7496804;-0.47896013;0.0;-0.0
103;250;187;672.7964;148.4705;1.8644638;0.09175843;-0.0;0.0
103;250;194;663.71045;138.68367;1.9728215;-0.18214744;-0.0;-0.0
103;250;197;659.5439;107.983795;1.5989866;-0.8107953;-0.0;-0.0
103;250;199;659.6425;112.01346;1.8032793;-0.69854903;-0.0;-0.0
103;250;214;685.14557;136.67668;1.6509591;-0.18322097;-0.0;0.0
103;250;219;667.02356;114.83198;1.9137255;-0.43956938;-0.0;-0.0
103;250;232;672.20953;162.1965;1.308248;0.36776114;-0.0;0.0
103;250;240;667.7238;140.8572;1.9106964;0.01221394;-0.0;0.0
104;250;0;668.02075;129.39272;1.9447614;-0.23845086;-0.0;0.0
104;250;3;673.9725;135.35187;1.8074968;-0.2865264;0.0;0.0
104;250;40;684.42114;160.3343;1.689163;0.2933102;-0.0;0.0
104;250;50;676.171;97.98524;1.3143475;-0.77550644;0.0;-0.0
104;250;58;687.8956;116.843475;1.7787331;-0.5977431;-0.0;-0.0
104;250;105;659.2443;119.13764;1.569392;-0.49630338;-0.0;0.0
104;250;148;657.44495;90.59642;0.9821388;-0.79338133;-0.0;0.0
104;250;163;662.51776;123.86347;1.9128218;-0.4549914;-0.0;-0.0
104;250;178;670.8563;124.7509;1.7784512;-0.48790142;0.0;-0.0
104;250;187;674.6511;148.56999;1.8547639;0.099486075;-0.0;0.0
104;250;194;665.681;138.47462;1.9706105;-0.20904495;-0.0;-0.0
104;250;197;661.1331;107.17064;1.589226;-0.81315374;-0.0;-0.0
104;250;199;661.45233;111.31759;1.8098401;-0.69587225;0.0;0.0
104;250;214;686.8378;136.47975;1.6922863;-0.19692501;0.0;-0.0
104;250;219;668.9216;114.38486;1.8980074;-0.44711688;-0.0;-0.0
104;250;222;656.1319;107.238655;1.5676587;-0.8202317;-0.0;-0.0
104;250;232;673.5351;162.56601;1.3255526;0.36951306;0.0;0.0
104;250;233;657.8968;114.88063;1.7605103;-0.73006815;0.0;0.0
104;250;239;667.95844;152.25752;1.8276342;0.15352327;-0.0;0.0
104;250;240;669.6302;140.8767;1.9063802;0.019494876;-0.0;0.0
105;250;0;669.9855;129.1195;1.9647493;-0.2732118;0.0;-0.0
105;250;3;675.8182;135.07487;1.8456761;-0.27699676;0.0;0.0
105;250;40;686.1012;160.6343;1.680059;0.29999533;-0.0;0.0
105;250;50;677.5003;97.20154;1.329301;-0.783698;0.0;-0.0
105;250;58;689.6678;116.234436;1.772183;-0.6090419;-0.0;-0.0
105;250;95;660.0133;129.51764;1.9517567;-0.39325845;0.0;-0.0
105;250;105;660.8551;118.644;1.6107829;-0.4936458;0.0;0.0
105;250;148;658.43866;89.795074;0.9937164;-0.80134565;0.0;-0.0
105;250;163;664.4284;123.400925;1.9106458;-0.46254554;-0.0;-0.0
105;250;178;672.6599;124.25442;1.8035926;-0.49647945;0.0;-0.0
105;250;179;665.48895;147.63177;1.7879707;0.17833513;-0.0;0.0
105;250;187;676.5004;148.67586;1.8493338;0.105861396;-0.0;0.0
105;250;194;667.6464;138.21413;1.9653834;-0.2605021;-0.0;-0.0
105;250;197;662.71344;106.354965;1.5803424;-0.815677;-0.0;-0.0
105;250;199;663.2706;110.62561;1.8183246;-0.69198143;0.0;0.0
105;250;214;688.571;136.2703;1.7331773;-0.20945752;0.0;-0.0
105;250;219;670.8096;113.92856;1.888024;-0.45630014;-0.0;-0.0
105;250;222;657.69684;106.416794;1.56493;-0.8218605;-0.0;-0.0
105;250;232;674.8788;162.93614;1.3436921;0.37013268;0.0;0.0
105;250;233;659.69196;114.19751;1.7951785;-0.68312347;0.0;0.0
105;250;239;669.77795;152.41599;1.8195118;0.15846902;-0.0;0.0
105;250;240;671.53186;140.9037;1.9016695;0.02700051;-0.0;0.0
106;250;0;671.94635;128.85878;1.960849;-0.26072297;-0.0;0.0
106;250;3;677.69855;134.80489;1.8803695;-0.26999202;0.0;0.0
106;250;40;687.7724;160.9409;1.6712251;0.30660674;-0.0;0.0
106;250;50;678.55774;96.50629;1.0574446;-0.6952547;-0.0;0.0
106;250;58;691.4334;115.61434;1.7655952;-0.6200966;-0.0;-0.0
106;250;95;661.9521;129.11374;1.9387667;-0.40390378;-0.0;-0.0
106;250;105;662.5033;118.14812;1.6481893;-0.49587733;0.0;-0.0
106;250;148;659.4395;88.98629;1.000849;-0.8087864;0.0;-0.0
106;250;163;666.35547;122.94159;1.9270875;-0.45933312;0.0;0.0
106;250;167;664.199;141.71346;1.8560034;0.07347237;-0.0;0.0
106;250;170;662.5237;135.43121;1.9706264;-0.18573497;-0.0;0.0
106;250;178;674.4852;123.75054;1.8252878;-0.5038784;0.0;-0.0
106;250;179;667.27783;147.81335;1.7888826;0.18157695;0.0;0.0
106;250;187;678.3525;148.78395;1.8520391;0.10808887;0.0;0.0
106;250;190;659.2055;123.5429;1.8200653;-0.6276319;-0.0;-0.0
106;250;194;669.60846;137.91988;1.9620347;-0.29424408;-0.0;-0.0
106;250;197;664.28564;105.536674;1.5721959;-0.8182929;-0.0;-0.0
106;250;198;655.65295;110.40708;1.5727444;-0.8054417;0.0;-0.0
106;250;199;665.0766;109.93255;1.8059676;-0.6930613;-0.0;-0.0
106;250;209;654.0906;103.37145;1.3722442;-0.8500889;-0.0;-0.0
106;250;214;690.3446;136.04582;1.7735951;-0.22447069;0.0;-0.0
106;250;219;672.6907;113.46288;1.8811271;-0.4656771;-0.0;-0.0
106;250;222;658.97437;105.69002;1.2775259;-0.7267791;-0.0;0.0
106;250;232;676.2382;163.30783;1.3594611;0.37168252;0.0;0.0
106;250;233;661.5006;113.519775;1.8086475;-0.677736;0.0;0.0
106;250;239;671.59015;152.57928;1.8121827;0.16330487;-0.0;0.0
106;250;240;673.42773;140.93878;1.8958943;0.03507939;-0.0;0.0
107;250;0;673.6179;128.62473;1.6715893;-0.23405227;-0.0;0.0
107;250;3;679.59814;134.55112;1.8996153;-0.2537691;0.0;0.0
107;250;40;689.4463;161.25064;1.6738986;0.3097311;0.0;0.0
107;250;50;679.6427;95.8019;1.0849514;-0.70438075;0.0;-0.0
107;250;58;693.19257;114.983444;1.7591274;-0.6308956;-0.0;-0.0
107;250;95;663.9104;128.75722;1.9582893;-0.35652503;0.0;0.0
107;250;105;664.18396;117.646164;1.6806558;-0.5019561;0.0;-0.0
107;250;148;660.4461;88.17055;1.0065833;-0.81574583;0.0;-0.0
