Iteracion;nBoids;Boid;Location X;Location Y;Velocity X; Velocity Y;Acceleration X; Acceleration Y
117;4;0;688.98016;199.03622;1.7508999;0.7099026;0.0;-0.0
118;4;0;690.73224;199.74213;1.7520664;0.70590276;0.0;-0.0
119;4;0;692.48535;200.44453;1.7531167;0.70240617;0.0;-0.0
120;4;0;694.23944;201.14365;1.7541188;0.6991054;0.0;-0.0
121;4;0;695.99457;201.83948;1.7551134;0.69582915;0.0;-0.0
122;4;0;697.75134;202.52832;1.7567605;0.68884647;0.0;-0.0
123;4;0;699.5099;203.20766;1.7585717;0.67933875;0.0;-0.0
124;4;0;701.27026;203.87581;1.7603592;0.6681452;0.0;-0.0
125;4;0;703.03235;204.53166;1.7620636;0.6558464;0.0;-0.0
126;4;0;704.796;205.17451;1.763678;0.64284915;0.0;-0.0
127;4;0;706.5612;205.80396;1.7652142;0.62944585;0.0;-0.0
128;4;0;708.328;206.42093;1.766806;0.6169779;0.0;-0.0
129;4;0;710.09576;207.03467;1.7677325;0.61374235;0.0;-0.0
130;4;0;711.86255;207.65074;1.7668133;0.61607224;-0.0;0.0
131;4;0;713.62885;208.26813;1.76632;0.61739033;-0.0;0.0
132;4;0;715.39465;208.88692;1.7657905;0.61879706;-0.0;0.0
132;4;3;686.44946;194.94293;1.7500594;0.6715724;-0.0;-0.0
133;4;0;717.15985;209.50725;1.7652111;0.6203246;-0.0;0.0
133;4;3;688.1994;195.61388;1.7499685;0.6709466;-0.0;-0.0
134;4;0;718.6277;210.17355;1.4678581;0.6663118;-0.0;0.0
134;4;3;689.94794;196.29782;1.7485433;0.6839468;-0.0;0.0
135;4;0;720.09766;210.82979;1.4699422;0.6562419;0.0;-0.0
135;4;3;691.6958;196.99118;1.7478504;0.69336617;-0.0;0.0
136;4;0;721.5696;211.47736;1.471936;0.647564;0.0;-0.0
136;4;3;693.4433;197.6914;1.7474827;0.70021933;-0.0;0.0
137;4;0;723.0434;212.1175;1.4737974;0.6401309;0.0;-0.0
137;4;3;695.19055;198.39673;1.7472486;0.7053238;-0.0;0.0
138;4;0;724.5189;212.75131;1.4754977;0.63381803;0.0;-0.0
138;4;3;696.9376;199.10602;1.7470634;0.7092965;-0.0;0.0
139;4;0;725.7003;213.43106;1.1814227;0.6797423;-0.0;0.0
139;4;3;698.6771;199.83522;1.7395248;0.7291955;-0.0;0.0
140;4;0;726.8843;214.10059;1.1839457;0.66951996;0.0;-0.0
140;4;3;700.41156;200.5805;1.7344173;0.7452777;-0.0;0.0
141;4;0;727.77563;214.81543;0.89133924;0.71484;-0.0;0.0
141;4;3;701.8304;201.3763;1.4188348;0.79579663;-0.0;0.0
142;4;0;728.6701;215.51979;0.8944585;0.7043618;0.0;-0.0
142;4;3;703.2485;202.17685;1.4180803;0.8005548;-0.0;0.0
143;4;0;729.56757;216.21458;0.89746463;0.69479173;0.0;-0.0
143;4;3;704.66565;202.98235;1.4172053;0.805502;-0.0;0.0
144;4;0;730.17395;216.96071;0.6063999;0.7461208;-0.0;0.0
144;4;3;706.0788;203.8001;1.413122;0.8177478;-0.0;0.0
145;4;0;730.7844;217.69452;0.610498;0.73381704;0.0;-0.0
145;4;3;707.48773;204.62988;1.4089382;0.82978576;-0.0;0.0
146;4;0;731.3989;218.41692;0.6144977;0.7223943;0.0;-0.0
146;4;3;708.8924;205.47153;1.4046484;0.84164524;-0.0;0.0
147;4;0;732.0173;219.12875;0.61837476;0.71183044;0.0;-0.0
147;4;2;684.173;190.59052;1.44657;0.7275788;-0.0;0.0
147;4;3;710.29266;206.32487;1.4002489;0.8533505;-0.0;0.0
148;4;0;732.6394;219.83086;0.6221069;0.70210165;0.0;-0.0
148;4;2;685.616;191.33423;1.4430467;0.74371445;-0.0;0.0
148;4;3;711.6884;207.18979;1.3957372;0.8649213;-0.0;0.0
149;4;0;733.30817;220.53711;0.6687323;0.7062591;0.0;0.0
149;4;2;687.0558;192.09386;1.4397359;0.75962144;-0.0;0.0
149;4;3;713.07983;208.06575;1.3913879;0.8759624;-0.0;0.0
150;4;0;734.02295;221.24945;0.7147804;0.7123385;0.0;0.0
150;4;2;688.49243;192.86916;1.4366307;0.77529985;-0.0;0.0
150;4;3;714.42896;208.92831;1.3490967;0.8625611;-0.0;-0.0
151;4;0;734.7832;221.9697;0.7602334;0.7202476;0.0;0.0
151;4;2;689.9261;193.65993;1.4336809;0.7907749;-0.0;0.0
151;4;3;715.736;209.77695;1.3070787;0.8486318;-0.0;-0.0
152;4;0;735.58826;222.69962;0.8050729;0.729915;0.0;0.0
152;4;2;691.35693;194.46597;1.4308732;0.80604994;-0.0;0.0
152;4;3;717.0013;210.61125;1.2652818;0.8343073;-0.0;-0.0
153;4;0;736.43756;223.44087;0.8492873;0.74126244;0.0;0.0
153;4;2;692.48553;195.30305;1.1286169;0.8370882;-0.0;0.0
153;4;3;717.92334;211.46594;0.9220813;0.85468787;-0.0;0.0
154;4;0;737.3284;224.19933;0.890885;0.7584566;0.0;0.0
154;4;2;693.63525;196.14369;1.1497176;0.84063655;0.0;0.0
154;4;3;718.8076;212.2991;0.8842746;0.83315575;-0.0;-0.0
155;4;0;738.2607;224.97531;0.9322325;0.7759877;0.0;0.0
