Iteracion;nBoids;Boid;Location X;Location Y;Velocity X; Velocity Y;Acceleration X; Acceleration Y
116;10;2;668.6883;153.95927;1.8972774;-0.043997064;-0.0;-0.0
117;10;2;670.5792;153.90123;1.8909522;-0.05804523;-0.0;-0.0
118;10;2;672.46436;153.82945;1.8851366;-0.07177732;-0.0;-0.0
119;10;2;674.34406;153.74432;1.8796848;-0.0851221;-0.0;-0.0
119;10;5;656.60284;114.716934;0.87460405;-0.38738072;-0.0;0.0
120;10;2;676.2187;153.64621;1.8746632;-0.09810985;-0.0;-0.0
120;10;5;657.46387;114.336235;0.86100316;-0.3806985;-0.0;0.0
121;10;0;662.965;137.12473;1.3407073;-0.3848994;-0.0;-0.0
121;10;2;678.0893;153.53534;1.8705959;-0.11087308;-0.0;-0.0
121;10;5;658.31146;113.9622;0.8475713;-0.37404206;-0.0;0.0
122;10;0;664.3024;136.73744;1.337411;-0.38728923;-0.0;-0.0
122;10;2;679.9569;153.41199;1.8675975;-0.12335101;-0.0;-0.0
122;10;5;659.14575;113.59478;0.83430284;-0.36742014;-0.0;0.0
123;10;0;665.63763;136.34747;1.3351991;-0.38996208;-0.0;-0.0
123;10;2;681.8184;153.36342;1.8615007;-0.04857128;-0.0;0.0
123;10;5;659.9668;113.23425;0.82104963;-0.3605279;-0.0;0.0
124;10;0;666.97156;135.95493;1.3339318;-0.39254335;-0.0;-0.0
124;10;2;683.6818;153.38457;1.8633976;0.021153413;0.0;0.0
124;10;5;660.77466;112.880844;0.8078314;-0.35340506;-0.0;0.0
125;10;0;668.0602;135.71367;1.0886247;-0.24125253;-0.0;0.0
125;10;2;685.5533;153.47043;1.8714451;0.08585932;0.0;0.0
125;10;5;661.56934;112.53511;0.7946901;-0.34573674;-0.0;0.0
126;10;0;669.20026;135.52223;1.140088;-0.19143216;0.0;0.0
126;10;2;687.44;153.61093;1.8867004;0.14051035;0.0;0.0
126;10;5;662.35114;112.19717;0.7817936;-0.33794075;-0.0;0.0
127;10;0;670.3709;135.40509;1.1706729;-0.117147416;0.0;0.0
127;10;2;689.3447;153.79466;1.9046993;0.18373817;0.0;0.0
127;10;5;663.12024;111.86723;0.76909715;-0.32993364;-0.0;0.0
128;10;0;671.5731;135.3596;1.2022307;-0.04548505;0.0;0.0
128;10;2;691.24567;153.9237;1.9009291;0.1290395;-0.0;-0.0
128;10;5;663.877;111.54517;0.75675136;-0.32205853;-0.0;0.0
129;10;0;672.8228;135.32127;1.2497005;-0.03832705;0.0;0.0
129;10;2;693.14545;154.01352;1.8997754;0.08981268;-0.0;-0.0
129;10;5;664.65265;111.26348;0.77564013;-0.28169262;0.0;0.0
130;10;0;674.1189;135.28888;1.2961028;-0.0323959;0.0;0.0
130;10;1;671.00494;161.52269;1.1233015;-0.01588713;-0.0;-0.0
130;10;2;695.04034;154.07639;1.8949015;0.06286076;-0.0;-0.0
130;10;5;665.15674;111.096016;0.5041084;-0.16746698;-0.0;0.0
130;10;8;685.9573;193.28398;1.2764938;0.5906897;-0.0;0.0
131;10;0;675.46;135.26205;1.341128;-0.026830986;0.0;0.0
131;10;1;672.12305;161.45909;1.1181047;-0.06359438;-0.0;-0.0
131;10;2;696.9258;154.11899;1.8854222;0.0426072;-0.0;-0.0
131;10;5;665.68445;110.96498;0.5277309;-0.13103603;0.0;0.0
131;10;8;687.2286;193.87918;1.271273;0.5952022;-0.0;0.0
132;10;0;676.5505;135.29533;1.0904257;0.033274293;-0.0;0.0
132;10;1;673.2365;161.35025;1.1134428;-0.10883557;-0.0;-0.0
132;10;2;698.8017;154.14267;1.8759295;0.02368445;-0.0;-0.0
132;10;5;666.2359;110.869705;0.551445;-0.09527892;0.0;0.0
132;10;8;688.4949;194.4788;1.2662934;0.5996221;-0.0;0.0
133;10;0;677.68976;135.33302;1.139252;0.037687518;0.0;0.0
133;10;1;674.3459;161.19818;1.1093779;-0.15206167;-0.0;-0.0
133;10;2;700.6665;154.19225;1.8648149;0.049574498;-0.0;0.0
133;10;5;666.5173;110.869705;0.2813811;1.013279E-6;-0.0;0.0
133;10;7;677.85504;177.21298;1.0143199;0.058885965;0.0;-0.0
133;10;8;689.75635;195.08293;1.2614964;0.6041254;-0.0;0.0
134;10;0;678.87695;135.3745;1.1871974;0.041467592;0.0;0.0
134;10;1;675.4514;161.00581;1.105556;-0.19237423;-0.0;-0.0
134;10;2;702.5226;154.26532;1.8560884;0.07307691;-0.0;0.0
134;10;5;666.827;110.90252;0.3097783;0.032816038;0.0;0.0
134;10;7;678.9096;177.2197;1.0545433;0.006712105;0.0;-0.0
